,batting_team,bowling_team,city,current_score,balls_left,wicket_left,crr,last_five,runs_x
55511,Mumbai Indians,Chennai Super Kings,Mumbai,92,53,9,8.238805970149254,43.0,187
44525,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,77,38,6,5.634146341463414,38.0,136
22329,Royal Challengers Bangalore,Sunrisers Hyderabad,Abu Dhabi,114,11,3,6.275229357798165,33.0,131
48605,Chennai Super Kings,Royal Challengers Bangalore,Ranchi,67,54,8,6.090909090909091,28.0,138
16984,Kings XI Punjab,Chennai Super Kings,Abu Dhabi,138,7,4,7.327433628318584,50.0,153
31572,Kings XI Punjab,Rajasthan Royals,Jaipur,119,34,6,8.30232558139535,35.0,153
5414,Chennai Super Kings,Kolkata Knight Riders,Kolkata,119,32,6,8.113636363636363,36.0,177
2926,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,77,52,7,6.794117647058823,27.0,125
37941,Kings XI Punjab,Chennai Super Kings,Chennai,97,49,9,8.19718309859155,46.0,156
4389,Mumbai Indians,Rajasthan Royals,Jaipur,52,78,9,7.428571428571429,48.0,167
2563,Kolkata Knight Riders,Mumbai Indians,Bangalore,53,54,5,4.818181818181818,28.0,107
45432,Chennai Super Kings,Kings XI Punjab,Abu Dhabi,117,47,10,9.616438356164384,35.0,205
3652,Kings XI Punjab,Chennai Super Kings,Chandigarh,102,66,9,11.333333333333334,59.0,197
54801,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,170,6,5,8.947368421052632,47.0,185
38086,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,137,27,9,8.838709677419354,42.0,190
35300,Chennai Super Kings,Royal Challengers Bangalore,Bangalore,25,81,6,3.8461538461538463,18.0,128
46138,Kolkata Knight Riders,Royal Challengers Bangalore,Sharjah,39,87,8,7.090909090909091,37.0,150
43270,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,67,48,7,5.583333333333333,22.0,161
13675,Kolkata Knight Riders,Mumbai Indians,Kolkata,122,41,9,9.265822784810126,46.0,232
1973,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,112,19,6,6.653465346534653,40.0,138
19192,Sunrisers Hyderabad,Delhi Capitals,Dubai,165,36,9,11.785714285714286,63.0,219
29174,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,66,52,6,5.823529411764706,34.0,135
19185,Sunrisers Hyderabad,Delhi Capitals,Dubai,150,43,9,11.688311688311689,57.0,219
52605,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,117,19,5,6.9504950495049505,31.0,130
58338,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,96,49,7,8.112676056338028,43.0,171
16350,Kolkata Knight Riders,Chennai Super Kings,Abu Dhabi,140,18,4,8.235294117647058,35.0,167
